Extra,Year,Jan.,Feb.,Mar.,Apr.,May,Jun.,Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Total,Nationality,,
Australia,2020,3008,2542,1079,2,4,2,2,11,11,49,34,49,6793,Australia,,
Australia,2021,66,37,99,97,9,11,52,64,77,139,615,1211,2477,Australia,,
Australia,2022,1213,1053,1450,2747,1618,1482,1148,1210,4370,3946,3375,3282,26894,Australia,,
Bangladesh,2020,2285,2209,374,0,2,2,2,1,8,5,18,11,4917,Bangladesh,,
Bangladesh,2021,27,156,567,162,6,0,8,31,62,481,1382,2162,5044,Bangladesh,,
Bangladesh,2022,1236,888,2152,1583,3268,2058,1874,1751,2312,2720,2218,3323,25383,Bangladesh,,
Canada,2020,965,1237,680,0,2,5,4,10,9,46,58,86,3102,Canada,,
Canada,2021,96,116,127,183,24,14,79,145,261,563,479,351,2438,Canada,,
Canada,2022,361,420,753,1065,764,630,616,552,1078,1682,1184,650,9755,Canada,,
China,2020,13329,3429,1653,0,0,0,0,1,56,115,209,465,19257,China,,
China,2021,1876,708,1207,803,78,38,50,256,233,308,363,278,6198,China,,
China,2022,320,206,434,350,391,450,1595,1288,1332,946,1038,1249,9599,China,,
France,2020,1106,2037,1196,0,1,4,4,20,18,53,33,68,4540,France,,
France,2021,107,90,169,162,17,14,41,128,235,739,808,319,2829,France,,
France,2022,283,537,1638,1992,858,507,759,656,1409,4929,2561,804,16933,France,,
Germany,2020,1405,2659,1692,0,0,2,2,10,9,50,27,40,5896,Germany,,
Germany,2021,97,126,208,218,13,16,31,81,225,790,725,399,2929,Germany,,
Germany,2022,364,645,1826,2132,776,436,718,809,1942,4935,2292,867,17742,Germany,,
India,2020,16882,14886,6814,2,7,26,26,23,41,107,125,1397,40336,India,,
India,2021,4029,4767,7652,13173,587,363,1106,1990,3532,8739,10420,8314,64672,India,,
India,2022,3915,6015,15034,22476,26754,23248,17399,16147,14471,16910,20532,26433,209334,India,,
Italy,2020,655,657,250,0,0,0,0,0,1,13,8,15,1599,Italy,,
Italy,2021,29,32,54,55,6,6,9,33,68,98,142,81,613,Italy,,
Italy,2022,66,72,234,508,368,181,350,941,538,1471,833,826,6388,Italy,,
Japan,2020,2003,2902,557,0,2,0,0,2,6,49,37,41,5599,Japan,,
Japan,2021,42,28,74,107,0,13,6,24,98,94,159,139,784,Japan,,
Japan,2022,130,85,190,371,272,322,466,541,596,841,955,945,5714,Japan,,
Malaysia,2020,1179,1588,673,0,0,0,0,0,1,2,9,8,3460,Malaysia,,
Malaysia,2021,19,21,16,44,3,5,5,8,32,35,55,88,331,Malaysia,,
Malaysia,2022,106,117,314,507,454,469,738,960,1135,1590,1593,1586,9569,Malaysia,,
Myanmar,2020,4447,12119,4320,0,0,0,0,0,0,1,6,18,20911,Myanmar,,
,2021,21,38,101,58,6,4,1,8,22,13,27,45,344,Myanmar,,
,2022,39,27,29,53,54,75,43,66,76,102,927,936,2427,Myanmar,,
Netherlands,2020,591,1119,774,0,0,1,1,0,4,29,12,32,2563,Netherlands,,
,2021,59,74,122,139,7,5,29,69,120,251,240,188,1303,Netherlands,,
,2022,142,253,463,806,315,201,598,483,804,1842,1148,460,7515,Netherlands,,
South Korea,2020,4559,1956,290,0,0,0,0,0,10,15,0,114,6944,South Korea,,
,2021,104,75,115,83,12,32,58,64,121,196,229,174,1263,South Korea,,
,2022,209,163,247,448,362,335,558,574,810,1371,1670,1493,8240,South Korea,,
Spain,2020,570,655,353,0,0,0,0,1,8,10,11,17,1625,Spain,,
,2021,57,30,54,104,25,3,13,57,73,238,262,235,1151,Spain,,
,2022,151,183,356,940,330,224,705,910,911,2096,956,587,8349,Spain,,
Sri Lanka,2020,291,7369,5556,0,0,0,0,1,1,50,21,39,13328,Sri Lanka,,
,2021,31,19,40,71,1,3,13,40,39,58,66,82,463,Sri Lanka,,
,2022,54,74,175,297,194,203,219,232,573,901,1018,666,4606,Sri Lanka,,
Thailand,2020,4005,12947,3760,0,0,0,0,0,0,29,1,36,20778,Thailand,,
,2021,36,30,46,44,8,5,6,52,61,90,74,124,576,Thailand,,
,2022,121,191,274,617,329,305,430,284,643,1296,2441,3004,9935,Thailand,,
UK,2020,3585,4845,2257,5,7,19,19,42,79,284,295,325,11762,UK,,
,2021,136,523,664,541,51,58,184,416,438,1382,2026,2261,8680,UK,,
,2022,1824,2218,4033,5400,2461,2000,3953,2826,3927,7417,5165,3870,45094,UK,,
USA,2020,6383,6790,2929,0,0,8,8,56,126,399,449,619,17767,USA,,
,2021,877,1115,1693,2733,225,263,816,1237,1848,4721,3785,3541,22854,USA,,
,2022,3259,3206,4909,7345,7318,8350,5228,4070,7938,11859,7832,5769,77083,USA,,
Others,2020,12454,16244,7569,5,6,33,128,89,196,719,603,862,38908,Others,,
,2021,1165,1281,2246,3955,453,334,586,1390,2362,4403,4278,3560,26013,Others,,
,2022,3182,3503,7641,11952,7207,5481,7065,7004,13449,21728,14915,11182,114309,Others,,
Grand-Total,2020,79702,98190,42776,14,31,102,196,267,584,2025,1956,4242,230085,Grand-Total,,
,2021,8874,9266,15254,22732,1531,1187,3093,6093,9907,23338,26135,23552,150962,Grand-Total,,
,2022,16975,19856,42152,61589,54093,46957,44462,41304,58314,88582,72653,67932,614869,Grand-Total,,
